Company Name,Location,Phone
Bambino Kinderopvang,Weemselerweg 24 7665 TX Albergen,0546442085
Bambino te Gendringen PSZ / De Berenhut BSO / Berend Botje KDV,Dominee van Dorpstraat 3 7081 BD Gendringen,0315-632035
BeeKidzzZ... Speelparadijs,Nederlandstraat 86 1363 DB Almere,036 536 9394
Belhamels,Pelgrimshove 10 3834 XM Leusden,033-4947144
Belle Fleur Princenhage,Haagweg 466 4813 XG Breda,0765147309
Belle Fleur Teteringsedijk,Teteringsedijk 297a 4817 ME Breda,0765425650
Bende van Boven,Molenstraat 11 4641 BA Ossendrecht,0164-614168
Bengels,Molenstraat 9 4641 BA Ossendrecht,0164 -614168
Berend Botje Kinderdagverblijf,Sebastiaan Centenweg 199 1602 EH Enkhuizen,0228323647
Berenparadijs,Schuilkerkpad 1 1251 SC Laren nh,035-538 09 26
Bijenkorf BSO / Bromtol KDV,Weijenbergstraat 6 6431 AL Hoensbroek,045-5224655
Bim Bam,de Gouwe 8 2673 BK Naaldwijk,0174-210761
Bink kinderopvang,Laapersveld 13 1213 VB Hilversum,0356834499
BliksemKids,Molenweg 14 6039 RH Stramproy,?
Blooming Kids,De Ruyterstraat 4 1271 SV Huizen,035-5252195
Blosse Opvang,W.M. Dudokweg 47 1703 DA Heerhugowaard,072 566 0200
Boechorst,Lageweg 1 2201 TV Noordwijk zh,071-3647930
Boemel,Beukenhof 5 2741 HS Waddinxveen,0182-631291
Boemeltje PSZ / Holder de Bolder KDV,Platanenweg 2 6014 AP Ittervoort,0475-568230
Boemerang BSO / Jacobeintje KDV,Middelweg 54 3235 NN Rockanje,0181-404479
Bogi-burcht,Moerven 308/309 5464 PG Veghel,0413-353352
BOinK Belangenvereniging van Ouders in de Kinderopvang,Herenstraat 39 3512 KB Utrecht,0302317914
Bommel de Beer Kinderdagverblijf,Goorsestraat 2 7496 AD Hengevelde,0547351565
Bommes,Kerkveldweg 1a 6343 RJ Klimmen,045-4053441
Bommes Kinderdagverblijf,Mathenesserlaan 335 3023 GA Rotterdam,0104256232
Bonte Villa,Perweide 3 5071 AC Udenhout,013-5113740
Boomhut,Zuidplashof 5 2743 CR Waddinxveen,0182-636254
Boskabouters,Meidoornstraat 12 5492 EC Sint oedenrode,06-52106930
Broekies,Terborgseweg 25 7084 AC Breedenbroek,0315-655287
Brood & Spelen Kinderopvang,Rode Kruislaan 1260 1111 XB Diemen,020-6621102
Brulapen BSO / Fila Tekna KDV,Lisidunalaan 2 3833 BR Leusden,033-4333523
BSO 't Olefantje Nieuwegracht,Nieuwegracht 30 3512 LS Utrecht,030 2310702
BSO Baloe / KDV Koala,Mendes Da Costalaan 28 1251 NP Laren nh,035-5319294
BSO Bende van P. / KDV De Petteflet,Pastoor Schattenstraat 25 6372 JA Landgraaf,045-5310845
BSO Berenhol / KDV Vlaegelke,Terracottalaan 1 5935 VN Steijl,077-3738834
BSO Bezige Bijen / KDV Rietpluim,Julianastraat 17 7061 ZJ Terborg,0315-241858
BSO Boombende / KDV Kummeling,Lisidunalaan 18 3833 BS Leusden,033-4943741
BSO Coole Kikkers / KDV Rollebol,De Insel 23 6442 AJ Brunssum,06-22105646
BSO De Blokhut / KDV Pepino,Durendaelweg 4 5056 ZA Berkel-enschot,013-5335042
BSO de Melkweg,Melkweg 42 1251 PT Laren nh,035-6926171
BSO De Notenkraker,Kostverloren 7 1251 TN Laren nh,035-6926171
BSO Dependance Kinderopvang Kiekeboe,Groeneveltstraat 127 3882 XE Putten,06-51398487
BSO Doelpunt / BSO Sportief,Sniepweg 13a 2742 AR Waddinxveen,?
BSO Donderstralen / KDV Zonnestralen,Hovenstraat 10 7051 CV Varsseveld,0315-242202
BSO Dragons Den / KDV Princess Ariane,Eisingastraat 2 2 2201 DJ Noordwijk,071-3615303
BSO Draken / KDV Klein Drakenstein,Abdijstraat 41 5473 AC Heeswijk dinther,0413-293856
BSO Goudkust / KDV Zuidwester,Cornelis Krusemanstraat 10 1075 NL Amsterdam,020-6640723
BSO Grote IJsbeer / KDV Kleine ijsbeer,Wetering 20-22 1261 NH Blaricum,035-6836652
BSO Het Voorhuis / KDV Wilhelminahoeve,Charloisse Lagedijk 528 3084 LG Rotterdam,010-4100104
BSO IJsselstein - locatie Achterveld,Heemradenlaan 26/28 3401 GX IJsselstein,(030) 687 5007
BSO IJsselstein - locatie Boedapestlaan,Boedapestlaan 83-85 3404 CC IJsselstein,(030) 687 7073
BSO IJsselstein - locatie Koekeloere,Heemradenlaan 42 3401 GX IJsselstein,(030) 688 61 48
BSO IJsselstein - locatie Planetenbaan,Planetenbaan 44 3402 HP IJsselstein,0306886419
BSO IJsselstein - locatie Schoolwoningen,Aalbersestraat 2-4 3404 JS IJsselstein,(030) 6876814
BSO IJsselstein - locatie Sint Petersburglaan,Sint Petersburglaan 33 3404 CV IJsselstein,(030) 687 79 52
BSO IJsselstein - locatie Sport BSO,Heemradenlaan 13 3403 NK IJsselstein,06 - 27 658 891
BSO Jungle / KDV Zonneke,Claudius Civilisstraat 3 6911 AW Pannerden,0316-370019
BSO Kanjers / KDV Villa Vrolijk,De Dintel 8 8 5463 NR Veghel,0413-368446
BSO Ketelbinkies / KDV Klokhuis,Busselbundersweg 1 5467 LT Veghel,0413-343439
BSO Kids & Go,Dreef 7a 1431 WC Aalsmeer,0297-565154 of 0297-321711
BSO Krullevaar / KDV Torteltuin,Steentijdsingel 53 2496 SG 's-gravenhage,070-4151127
BSO Montana,Elisabethstraat 1 4931 BD Geertruidenberg,06-23031026
BSO Orka / KDV Plons,Rietwijkerstraat 77 1059 VX Amsterdam,020-6140848
BSO Pinguin / KDV SamSam,Raphaelstraat 3 7031 BA Wehl,0314-682168
BSO Ratjetoe / PSZ Rozenburg,Gruttostraat 2 3181 TC Rozenburg zh,0181-276100
BSO Ridderburcht / KDV Spetterburcht,Vlasven 92 5464 PN Veghel,0413-375019
BSO Tornado's / KDV Wolkewietje,Gruenepad 2 2203 EZ Noordwijk zh,071-3629059
BSO Villa Amigo,Mozartlaan 4 4941 AD Raamsdonksveer,0183-408444
BSO Villa Kakelbont,Tienhont 1 4254 CL Sleeuwijk,0183-408444
BSO Villa Lila / KDV Villa Nova,Kerkstraat 104 5126 GD Gilze,0161-452962
Bunderbos Kinderdagverblijf,Hoofdstraat 38 4041 AE Kesteren,0488482673
Bussum Naarden Muiden Muiderberg Stichting Kinderopvang,Herenstraat 6/A 1404 HD Bussum,0356970075
Buytenhonk,Binnengracht 2 3162 WD Rhoon,06-30629402
Calimero kinderopvang,Sien Jensemalaan 7 9951 NE Winsum Gn,
Casa Sama Peuterspeelzaal,Willem Nakkenstraat 25 1061 TA Amsterdam,0206110672
Casa4Kidsz! Kinderopvang,Koningstraat 2a 6641 KS Beuningen Gld,0625185845
Catalpa - Kinderdagverblijf De Broekies,Broekkant 17 6581 EN Malden,024 3585776
Catootje KDV / Foekepot BSO,Cortemich 4 6367 CG Voerendaal,045-5753786
Centrale voor Kinderopvang Triodus,Spoorhaven 10-18 2651 AV Berkel en Rodenrijs,010 286 27 77
Cheeky's Kinderdagverblijf,Heereweg 343 2161 CA Lisse,0252 348 294
Child Care Kinderdagverblijf,Cyclopenstraat 14 1363 TD Almere Poort,036-5213555
Child Care Kinderopvang,Cyclopenstraat 14 1363 TD Almere Poort,0365213555
Chill,Jan Tooropstraat 1-2-5 3181 HE Rozenburg zh,06-55940175
Chr. kov Het Paleis,Kortenvoortstraat 1 7602 AT Almelo,0546-868302
Christelijk Gastouderbureau de Herberg,Pijlkruid 36 7443 LS Nijverdal,06-54386224
Christelijk Gastouderbureau Het Mosterdzaadje,Industrieweg 47 8071 CS Nunspeet,0341-256864
Christelijk kinderdagverblijf Trots,Boomgaard 21A 2771 PC Boskoop,0172-251271
Christelijke kinderopvang De Groene Weide,Horthoekerweg 31 8167 LV Oene,06 36050063
Click Gastouderopvang,Kanaaldijk Zuid 5 a 5613 LE Eindhoven,040 294 89 40
Club4Kids BSO / Graspieperke PSZ,Graswinkellaan 7-9 6005 KE Weert,?
Comme à la Maison Kinderdagverblijf,Duinweg 1 2585 JT 's-Gravenhage,0704049750
Curious Kids Kinderopvang,Scheldestraat 19 1078 GD Amsterdam,020 672 7321
De Beestenboel Kinderdagverblijf,Straat 13 6042 KV Roermond,0475-476239
De Bengele BSO / Drie Turf Hoog KDV,De Bengele 7 6031 TZ Nederweert,0495-631197
De Bengels BSO / De Bonte Bende KDV,Herenengstraat 22b 5397 BE Lith,0412-483354
De Bereboot KDV / Kameleon BSO,Nieuwe Komstraat 19 6915 VL Lobith,0316-542830
De Bloemenkinderen Dagverblijf,Ernani 24 5629 NB Eindhoven,0402230081
De Bosplaats Buitenschoolse Opvang,Socrateslaan 22 3707 GL Zeist,0306939739
De Eerste Stap Kinderopvang,Laantje 11 6602 AA Wijchen,0246488388
De Elfenboom Kindercentrum,St Willibrordusstraat 15/T 5351 ED Berghem,0412482130
De Grabbelton Kinderdagverblijf,Oosteinde 3 5663 PZ Geldrop,0402862608
De Grote Smurf,Oosterhamriklaan 195/197 9715 PD Groningen,0505773103
De Kinderkamer Kinderdagverblijf b.v.,Merwedestraat 2 1823 VK Alkmaar,0725203738
De Kinderkroon Kinderdagopvang & Het KroonKasteel Buitenschoolse Opvang,Sportlaan 10 7651 LD Tubbergen,0546621806
De Kleine Held Kinderdagverblijf,Leegeweg 4 a 9745 CP Groningen,0505568288
De Kleine Johannes Peuterspeelzaal,Hercules Seghersstraat 1 8932 DG Leeuwarden,0582132110
De Kleine Paddestoel,Wielingen 54 2401 DX Alphen aan den Rijn,06 54353334
De Klompjes Kinderdagverblijf,Dorpsstraat 68 6678 BG Oosterhout,0481482008
De Morgenster Kinderdagverblijf,Tengnagelshoek 9 7201 NE Zutphen,0575541617
De Ontdekking Kinderdagverblijf,St.- Annastraat 6-8 5421 KC Gemert,0492331007
De Ontdekking Pandelaar,Pandelaar 45 5421 NG Gemert,0492-390012
De Pinguïn Kinderdagverblijf,Berlijnstraat 2 7559 WH Hengelo,0742780110
De Schavuiten,Dokter van Deenweg 13 8025 BP Zwolle,06 43877909
De Schavuiten,Lage Morsweg 102 2332 XE Leiden,0715768500
De Schavuiten,Audioweg 3 1322 AT Almere,0655378455
De Spelende Kinderopvang,"Meerssenstraat, 1c 1c 5045 JB Tilburg",013 577 4988
De Springertjes h.o.d.n. Franch & Free,Rollemastate 49 8925 DB Leeuwarden,0582661411
De Teigetjes Kinderdagverblijf,Weidestraat 18 5275 AR Den Dungen,073 782 0104
De Toverfluit Kinderdagverblijf,Roskamweide 2 3437 XB Nieuwegein,0306014485
de Tuimelaar Kinderdagverblijf,Van Oldenbarneveldtstr 13 6828 ZM Arnhem,026-4432236
De Voetstapjes,Den Helderstraat 13 2547 SB 's-Gravenhage,070 - 8873324
De Vuurtoren,Oosteind 76 5161 MK Sprang-Capelle,0416339490
De Watergeuzen Kinderdagverblijf,Willem Barentszstraat 47 2315 TZ Leiden,0715247660
De Zeester Kinderdagverblijf,Eendrachtsplein 14 3012 LA Rotterdam,0102142427
De Zon kdv en bso,Hasselmanstraat 1 4255 HL Nieuwendijk nb,06-30137367
Debberke,Prinses Marijkestraat 9a 6039 BV Stramproy,0495-566255
Den Akker,Lavendel 3 5061 WB Oisterwijk,06-30820241
Dikke Maatjes Kinderdagverblijf,Molukkenstraat 56 2022 CD Haarlem,0235265333
Dikkertje Dap Kinderdagverblijf/Peuterspeelzaal,Billie Holidaystraat 17 1311 PN Almere,0365367253
"Dikkie & Dik Kinderdagverblijf , peuterspeelzaal en buitenschoolse opvang",Gerretsonlaan 1/B 5624 JL Eindhoven,0402939404
Dikkie Dik,Grobbendonckpark 45 5051 KR Goirle,013-5343378
Disck Peuter & Co,Schoonderloostraat 68 3024 TX Rotterdam,0104255392
Dol-Fijn Kinderopvang,baroniestraat 3 5481 CK Schijndel,0735496521
Dolfijn Kinderdagverblijf,De Winterstraat 7 5731 EJ Mierlo,0492660309
Domino,Hoogheem 485 5283 BH Boxtel,0411-683833
Domino Kindercentrum,Jan Sluijtersstraat 2 4703 JK Roosendaal,0165551593
Dommelclub BSO / Dommeltoren KDV / PSZ Oedenrode,Laan Ten Bogaerde 5 5491 GC Sint oedenrode,0413-477763
Donk,Sportlaan 6 5062 JK Oisterwijk,06-12560544
Doomijn,Burg. Drijbersingel 11 8021 DA Zwolle,(038) 4214521
Drakenhol BSO / Holletje KDV,Bernhardlaan 8 6006 ZP Weert,0495-537403
Dribbel Kinderdagverblijf,Halewijn 16 5221 LZ 's-Hertogenbosch,0736312106
Dribbel kinderdagverblijf,Rijksstraatweg 103-a 4254 XC Sleeuwijk,0183-408444
Driehoek,Vrouwe Machteldweg 1 3233 TV Oostvoorne,06-17547155
Ducky Duck Kindercentrum,Louis Davidscarré 1 2042 LZ Zandvoort,0235730042
Duimelot Kinderdagverblijf,St. Stephanusstraat 5 7625 PH Zenderen,0742666436
Eigen Wijsje 't Kinderopvang,De Ruyschlaan 193A 1181 PE Amstelveen,0203452428
Eigenwijs,St. Apolloniastraat 2 6002 BE Weert,0495-520793
Fides Kinderopvang,Valeriusstraat 33 5421 TR Gemert,088-0088500
Fiësta kdv en bso,Rembrandtlaan 5 4941 ZA Raamsdonksveer,0183-408444
Flexikids,Walmolenstraat 17 1333 BZ Almere,0365350942
Fokkenhoeve,Fokkenkampseweg 3 7031 EA Wehl,0314-680333
Frida Dida,'s-Gravenweg 29/33 3062 ZA Rotterdam,0104139226
Gastouderbemiddeling Rivierenkind,Diefdijk 27/A 4143 ME Leerdam,0345642236
Gastouderbureau Happy,Loo 4 5571 KR Bergeijk,06-54311828
Gastouderbureau Je Beste Maatje,"Kapelhof, 13 13 3951 AG Maarn",+31850021400
Gastouderbureau Je Beste Maatje Nijmegen,Wilhelminalaan 180 6642 AZ Beuningen gld,085-0021400
GastOuderBureau SamSam,Stationsstraat 9 9401 KV Assen,0592309071
Gastouderbureau Ziezo,Poldermolen 4 3352 TH Papendrecht,0786182148
Gastouderbureau Ziezo,Poldermolen 4 3352 TH Papendrecht,078-6182148
"gastouderopvang ""bij Bartje""",Keunenhoek 34a 6021 CX Budel,06 54320005
Gastouderopvang Juffertje Korenbloem,Verbindingsweg 33 9945 SJ Wagenborgen,0651880000
Gastouderopvang Pardoes,Leeuwarderstraat 21 8932 GN Leeuwarden,06 38436366
Gastouderopvang Pluk,Strijenlaan 3 4931 HE Geertruidenberg,0641648137
GOB De Wipneus Midden Nederland,Jan van Brakelstraat 6 1271 WG Huizen,035-6926171
gro-up,Spoorhaven 10-18 2651 AV Berkel en Rodenrijs,010 286 2777
Groot Berkeloo,Hazelaarlaan 32 5056 XN Berkel-enschot,?
Gruthuukske,Dorpsstraat 3 7075 AC Etten gld,0315-324640
Hamertje-tik Kinderdagverblijf,Van Berumstraat 9 9785 BG Zuidwolde,0503010568
HARLEKIJN Kinderdagverblijven,Hortuslaan 18 9751 BG Haren,+31503080524
Heerlen Stichting Peuterspeelzaalwerk,Molenwei 400 6412 WG Heerlen,0454007700
Heksenketel,Agnietenhove 51a 3834 XB Leusden,033- 4941748
Hestia Kinderopvang,Uiterwaardenstraat 542 1079 AZ Amsterdam,020-6618710
Hestia Kinderopvang,Gaasterlandstraat 5 1079 RH Amsterdam,0206618710
Hestia Kinderopvang BV,Laan van de Helende Meesters 4 1186 AM Amstelveen,020-6618710
Het Apenstaartje Kindercentrum,Domela Nieuwenhuisweg 1 9649 AJ Muntendam,0598626632
Het Bergje,Burggravenlaan 1 4931 XA Geertruidenberg,0162-521213
Het Bonte Huis kleinschalige kinderopvang,Donkere Spaarne 16/ZW 2011 JG Haarlem,06 10130344
Het Elfenbosch Kinderdagverblijf,Hoflaan 15 6824 BN Arnhem,0263554210
Het Helpernest Kinderdagverblijf,Verlengde Hereweg 107 9721 AJ Groningen,0505261690
Het Kabouterhuis,Wagenweg 240/A 2012 NP Haarlem,0235320523
Het letterboompje,Groeneveen 160e 1103 EK Amsterdam zuidoost,020 6002311/ 0610798055
Het Toddler's Huis,Jan Pelleboerplein 3-4 9765 BR Paterswolde,0505772396
Het Toddler's Huis,Friesestraatweg 217e 9743 AD Groningen,050-5772396
Het Toddler's Huis,Kraneweg 105-107 9718 JM Groningen,050-5892468
Het Tuinhuis Kinderdagverblijf,Azalealaan 107 2771 ZV Boskoop,0172231005
het witte wiel,Provincialeweg 4 5503 HG Veldhoven,040 202 75 80
Het Woldkasteel 'Villa Oostwold',Tukseweg 158 8334 RW Tuk,0521 58 87 60
High Five,Oude Laarderweg 15 6003 ME Weert,06-47056225
Hobbithoeve,Burg Kasteleinstraat 6 1109 BC Amsterdam Zuidoost,0294450525
Hocus Pocus,Goudsbloem 66 5071 EZ Udenhout,013-5773454
Hoeksteen,Biss Philip Roveniusstr 8 7141 KS Groenlo,?
Honk,Bosstraat 1 5066 EB Moergestel,013-5134761
Hoogeveen Stichting Kinderopvang,Trompstraat 1 7907 AR Hoogeveen,0528267546
Hoogvlieger,Pieter de Hoochstraat 80 1071 EJ Amsterdam,020-6756924
Hooiman KDV / Hooizolder BSO,Nozemanstraat 71 3023 TM Rotterdam,010-4783411
Horizon,Pieter Calandlaan 768 1060 TZ Amsterdam,020-6104838
"Huisje Boompje Kindje ,kleinschalige kinderopvang",Buziaulaan 58 1948 AK Beverwijk,06-10039512
Hummeltjeshonk Kinderdagopvang,Julianastraat 24D 8064 CD Zwartsluis,0383868668
Humpie Dumpie Kinderdagverblijf,Horgetouw 3 5404 MA Uden,0413254769
Hupsakee KDV / Hummeltje KDV,Wiebachstraat 34 6466 NG Kerkrade,045-5411114
Impuls Kinderopvang B.V.,Sam van Houtenstraat 74 1067 JP Amsterdam,020 515 88 00
Jabadoo Kinderopvang,Eemsgolaan 11 9727 DW Groningen,050-5200910
Je Beste Maatje,Spoorstraat 58 5821 BE Vierlingsbeek,06-24298638
Jodocus Kinderdagverblijf,De Zon 1 9981 KM Uithuizen,0595433816
Jonkies,Vandiedelstraat 38 2104 AC Aalsmeer,06-33272729
Jottum! Kinderdagverbllijf en de Jottum! Club voor Buitenschoolse Opvang,Mondriaanstraat 21 6717 SC Ede,0318618729
Joy Kinderdagverblijf Christelijk,Beethovenlaan 336 8031 BW Zwolle,
JSO,Nieuwe Gouwe W.Z. 1 2802 AN Gouda,0182547888
Junior Ontdek Centrum Wizz Ki(d)ts,Meezenbroekerweg 3 6412 VK Heerlen,?
Junis Kinderopvang,Zuidpoolsingel 6 2408 ZE Alphen aan den Rijn,0172-424 824
K.O.NIJNTJE ( kinder opvang nijntje),kerklaan 4 9679 AE Scheemda,0597593793
Kanteel Kinderopvang,Berlicumseweg 8g 5248 NT Rosmalen,073-8507850
KDV Alles Ki(d)ts / BSO Wizz Ki(d)ts,Grasbroekerweg 18 6412 BE Heerlen,045-5280500
KDV Bonbini / BSO Kicks,Zeshoevenstraat 36c 5071 BP Udenhout,013-5114631
KDV Bumme / BSO Ruimte,Overboslaan 28a 2101 AM Heemstede,023-5285261
KDV De Papegaai,Ariane 8 3824 MB Amersfoort,033-4530244
KDV De Regenboog,Hospitaalweg 1 1315 RA Almere,035-6926171
KDV De Wipneus,Crailoseweg 118 1272 EX Huizen,035-6926171
KDV Dokkum De Tuimelaar van Sisa Kinderopvang,Bonifatiuspolder 1 9101 EP Dokkum,
KDV Dukaat / BSO De Parel,A. Reitsmakade 28-30 1060 SZ Amsterdam,020-6106164
KDV Hanna Holman,Noordmark 77-79 1351 GG Almere-Haven,0365312555
KDV Het Frankhuisje,Frankhuizerallee 50 B 8043 XA Zwolle,06-23872118
KDV Het Kleine Volkje,Atjehstraat 32-1 2315 CV Leiden,0626020484
KDV Huize Kakelbont / BSO Zeeroversnest,Bekkerveld 1 6417 CL Heerlen,045-5719439
KDV Hummelvijver,Buttervliet 6 3281 LK Numansdorp,0186650020
KDV Jami / BSO De Tijgers,Hopperzuigerstraat 13 1333 HL Almere,036-5328314
KDV Jij en ik / BSO Ziezo,Wijngracht 11a 6351 HJ Bocholtz,045-5446640
KDV Kakelbont / BSO Takatuka,Wolga 2 2911 RB Nieuwerkerk ad ijssel,0180-317767
KDV Kiekeboe / BSO Kwetternest,Kloosterlaan 9 6451 EN Schinveld,045-5275856
KDV Knabbel en Babbel,Van der Wyckstraat 12 2593 XB 's-gravenhage,070 3830312
KDV Kraal / BSO Totempaal,Paradijsplein 4 4 1093 NJ Amsterdam,020- 6634123
KDV Madelief,Lage Lochemseweg 25C 7218 MA Almen,06-57457215
KDV Merlijn / BSO Trollenhol,In de Pollack 1 6438 GG Oirsbeek,046-4422020
KDV Nijntje,Werkdroger 1 1251 CM Laren nh,035-6926171
KDV Njoy,Marsmanhove 25 2726 AD Zoetermeer,0793602916
KDV Ollie / BSO Villa Blitz,Ursulinenstraat 21 5915 BZ Venlo,077-3545342
KDV Paradijs / BSO Paradijsvogels,Paradijslaan 14-16 5611 KN Eindhoven,040-2376781
Kdv Picobello,Oudegracht 58-66 1811 CL Alkmaar,0725111132
KDV Piekobello / BSO Rebbels,Herderstraat 6 5384 BS Heesch,0412-455761
KDV Pompidoe / BSO Spookjes,Wiel Ringenslaan 1a 6373 EP Landgraaf,045-5325117
KDV Puntmuts,Iepenlaan 67 1406 TL Bussum,035-6926171
KDV Skoebidoe / BSO Skoebikids,Leuvenstraat 5 5121 VC Rijen,0161-227436
KDV Snuffie,Lekstraat 8 1079 EN Amsterdam,0206425460
KDV Tiny Toes Roosendaal,Streuvelslaan 18 4707 CH Roosendaal,06-20064061
KDV Zonnelicht BV,Rijnstraat 559 5215 EJ 's-Hertogenbosch,0736125282
Keentjes,Het Dal 14 6006 KV Weert,0495-520989
Kern Kinderopvang  B.V.,Spoorhaven 10-18 2651 AV Berkel en Rodenrijs,010-2862777
Kiddies Kinderdagverblijf B.V.,Arkplein 119/122 1826 DM Alkmaar,0725624961
Kiddoozz Kinderopvang,Sliedrechtstraat 62-66 3086 JN Rotterdam,010 204 1820
Kids & Animals Kinderopvang,W Dijkstrastraat 48 9077 SP Vrouwenparochie,0518400845
Kids & Care Gastouderbureau,Jachtslot 14 5346 WK Oss,0412650787
Kids & Co,Pastoor Scheepersstraat 3 6374 HR Landgraaf,045-5313657
Kids Club Watermolen,Admiraal Helfrichplein 2 7141 VN Groenlo,06-23985386
Kids Club Willibrordus,Karel Doormanstraat 66 7141 WH Groenlo,06-12579778
Kids en Zoo Dagverblijf,Oosteinde 77/A 2841 AB Moordrecht,0182370192
Kids First Alles Kids KDV/BSO,Mimosastraat 97 97 9713 TR Groningen,050-3142952
Kids First Alles Kwetter BSO,Madeliefstraat 2 9713 CB Groningen,06-57259770
Kids First De Gravenburger BSO,Maresiusstraat 22 9746 BJ Groningen,050-5530980
Kids First De Gravenburger KDV,Maresiusstraat 20 9746 BJ Groningen,050-5530980
Kids First De Honingboom BSO,Fultsemaheerd 88 9736 CT Groningen,050-5492331
Kids First De Wigwam BSO,Jaltadaheerd 54 9737 HC Groningen,
Kids First Flipper KDV,Timpweg 22 9731 AL Groningen,050-3017100
Kids First Hoogkerk BSO,De Sanstraat 13 9744 HW Groningen,06 13 197724
Kids First Hummelhof KDV/BSO,Schaaksport 104 9728 PG Groningen,050-5270771
Kids First Kinderopvang NL B.V.,Postbus 1030 3640 BA Mijdrecht,0297 214436
Kids First Reitdiephaven KDV/BSO,Reitdiephaven 153 9746 RC Groningen,050-7600049
Kids Planet bv,duarte pachecostraat 8 1086 XW Amsterdam,0207713561
Kids voor Kinderen Kinderopvang,Postbus 339 3740 AH Baarn,0356281325
Kids2b Appingedam,Heiman Akkerstraat 15 9902 GE Appingedam,0596-626182
Kids2b Baflo / PSZ Ploentje,Kostersgang 5 9953 PE Baflo,0595-422441
Kids2b Bedum,De Vlijt 18 9781 NR Bedum,050-3013757
Kids2b Bedum,Burchtstraat 2 9781 BA Bedum,06-21177583
Kids2b BSO Adorp,Kleine Straat 8 9774 PN Adorp,06-12470377
Kids2b BSO ASWA,Burgemeester Klauckelaan 16 9902 KZ Appingedam,0596-670074
Kids2b BSO Baflo/Rasquert,Meijmaweg 9a 9955 VC Rasquert,06-10126599
Kids2b BSO de Wilster,Florastraat 11 9991 CH Middelstum,06-21184070
Kids2b BSO Ezinge,Schoolstraat 28 9891 BE Ezinge,06-39138163
Kids2b BSO Farmsum,Borgshof 16a 9936 CS Farmsum,06-49073439
Kids2b BSO Garmerwolde,Dorpsweg 60 9798 PG Garmerwolde,06-21682058
Kids2b BSO Olingertil,Olingermeeden 6 9903 ET Appingedam,0596-602253
Kids2b BSO Ten Post,Oldenhuisstraat 6 9792 PM Ten Post,06-52389055
Kids2b BSO Togtemaar,De Vlijt 14 9781 NR Bedum,06-23255131
Kids2b BSO Tuikwerd,Hallehuis 2 9932 CR Delfzijl,06-10221479
Kids2b BSO Uithuizen,M J Bultenastraat 8 9981 JB Uithuizen,06-57063085
Kids2b BSO VV Eenrum,J J Willingestraat 9 9967 PB Eenrum,06-13691041
Kids2b BSO Warffum,Westervalge 5 9989 EB Warffum,06-57703442
Kids2b BSO Winsum / PSZ 't Onderdeurtje,Warfstraat 1a 9951 BS Winsum gn,0595-435888 / 0595-435639
Kids2b BSO Zuidwolde /  PSZ 't Beudeltje,Van Berumstraat 2 9785 BG Zuidwolde gn,06-27417989 / 06-21176013
Kids2b Delfzijl / PSZ BSN De Wadlopertjes / Eemsrakkertjes,Waddenweg 10 9933 KH Delfzijl,0596-610919 / 639222 / 639223
